Molecule ChEMBL ID,Smiles,Standard Type,Standard Value,Standard Units
CHEMBL118,Cc1ccc(-c2cc(C(F)(F)F)nn2-c2ccc(S(N)(=O)=O)cc2)cc1,IC50,21,nM
CHEMBL1788205,NS(=O)(=O)c1cc2c(s1)S(=O)(=O)CC[C@H]2O,IC50,6.7,nM
CHEMBL23838,CCOP(=O)(OCC)Oc1ccc([N+](=O)[O-])cc1,IC50,59,nM
CHEMBL1276021,CCOC(=O)/C(=N/Nc1cccc(-n2nc(C(=O)Nc3nnc(S(N)(=O)=O)s3)c(C(=O)OCC)c2-c2ccccc2)c1)C(C)=O,IC50,110,nM
CHEMBL310291,CC(C)(C)OC(=O)Oc1ccc2nc(S(N)(=O)=O)sc2c1,IC50,10,nM
CHEMBL19,CC(=O)/N=c1/sc(S(N)(=O)=O)nn1C,IC50,21,nM
CHEMBL515914,CC(=O)OC[C@H]1O[C@@H](n2ncc(=O)[nH]c2=O)[C@H](OC(C)=O)[C@@H]1OC(C)=O,IC50,,
CHEMBL828,c1ccc2c(c1)Nc1ccccc1S2,IC50,,
CHEMBL1612004,COc1ccccc1N,IC50,,
CHEMBL1172,Clc1ccc2c(c1)CCc1cccnc1C2=C1CCNCC1,IC50,,
CHEMBL34139,C[C@H]([C@](O)(Cn1cncn1)c1ccc(F)cc1F)S(C)(=O)=O,IC50,,
CHEMBL265674,Nc1nnc(S(N)(=O)=O)s1,IC50,3200,nM
CHEMBL558,Cc1cccc(C)c1OCC(C)N,IC50,,
CHEMBL9,CCn1cc(C(=O)O)c(=O)c2cc(F)c(N3CCNCC3)cc21,IC50,,
CHEMBL643,CC(CN1c2ccccc2Sc2ccccc21)N(C)C,IC50,,
CHEMBL456807,NNc1ccccc1,IC50,,
CHEMBL20,CC(=O)Nc1nnc(S(N)(=O)=O)s1,IC50,4100,nM
CHEMBL1276023,CCOC(=O)c1c(C(=O)Nc2nnc(S(N)(=O)=O)s2)nn(-c2cccc(N/N=C(/C(C)=O)C(=O)OC(C)(C)C)c2)c1-c1ccccc1,IC50,160,nM
CHEMBL1276019,CCOC(=O)c1c(C(=O)Nc2nnc(S(N)(=O)=O)s2)nn(-c2cccc(NN=C(C(=O)c3ccccc3)C(=O)c3ccccc3)c2)c1-c1ccccc1,IC50,350,nM
CHEMBL1276020,CCOC(=O)/C(=N/Nc1cccc(-n2nc(C(=O)Nc3nnc(S(N)(=O)=O)s3)c(C(=O)OCC)c2-c2ccccc2)c1)C(=O)c1ccccc1,IC50,2300,nM
CHEMBL181,CC1=Nc2ccc(Cl)cc2S(=O)(=O)N1,IC50,,
CHEMBL1365675,Cc1ccc(/N=C/N(C)/C=N/c2ccc(C)cc2C)c(C)c1,IC50,,
CHEMBL268291,,,,
CHEMBL450895,C[C@@H]1[C@H](O)[C@@H](C)/C=C/C=C/CC/C=C/C=C/C=C/C=C/[C@H](O[C@@H]2O[C@H](C)[C@@H](O)[C@H](N)[C@@H]2O)C[C@@H]2O[C@](O)(C[C@@H](O)[C@H](O)CC[C@@H](O)C[C@@H](O)C[C@@H](O)CC(=O)O[C@H]1C)C[C@H](O)[C@H]2C(=O)O,IC50,,
CHEMBL4649901,Cc1c(N)nc([C@H](CC(N)=O)NC[C@H](N)C(N)=O)nc1C(=O)N[C@H](C(=O)N[C@H](C)[C@@H](O)[C@H](C)C(=O)N[C@H](C(=O)NCCc1nc(-c2nc(C(=O)NCCC[S+](C)C)cs2)cs1)[C@@H](C)O)[C@@H](O[C@@H]1O[C@@H](CO)[C@@H](O)[C@H](O)[C@@H]1O[C@H]1O[C@H](CO)[C@@H](O)[C@H](OC(N)=O)[C@@H]1O)c1c[nH]cn1.[Br-],IC50,,
CHEMBL9419,CC(=O)Nc1cccc(O)c1,IC50,,
CHEMBL307145,Oc1cccc(O)c1O,IC50,,
CHEMBL1566,C[C@H]1O[C@H](O[C@H]2[C@H](O)[C@@H](O)[C@@H](O[C@H]3[C@H](O)[C@@H](O)[C@H](O)O[C@@H]3CO)O[C@@H]2CO)[C@H](O)[C@@H](O)[C@@H]1N[C@H]1C=C(CO)[C@@H](O)[C@H](O)[C@H]1O,IC50,,
CHEMBL1909051,O=C(c1ccccc1C(F)(F)F)N1CCC(Cc2ccccc2)CC1,IC50,,
CHEMBL917,O=c1[nH]c(=O)n([C@H]2C[C@H](O)[C@@H](CO)O2)cc1F,IC50,,
CHEMBL558551,O=C1CC[C@@H](N2C(=O)c3ccccc3C2=O)C(=O)N1,IC50,,
CHEMBL1201353,CN(C)CC[C@@H](c1ccc(Cl)cc1)c1ccccn1,IC50,,
CHEMBL940,NCC1(CC(=O)O)CCCCC1,IC50,,
CHEMBL398440,Cc1cc(O)cc(C)c1Cl,IC50,,
CHEMBL1055,NS(=O)(=O)c1cc(C2(O)NC(=O)c3ccccc32)ccc1Cl,IC50,677,nM
CHEMBL35,NS(=O)(=O)c1cc(C(=O)O)c(NCc2ccco2)cc1Cl,IC50,,
CHEMBL12856,Nc1cc(-c2ccncc2)c[nH]c1=O,IC50,,
CHEMBL414804,,IC50,,
CHEMBL1006,NCCCNCCSP(=O)(O)O,IC50,,
CHEMBL314569,NS(=O)(=O)c1cc2c(s1)S(=O)(=O)CCC2O,IC50,13,nM
CHEMBL578,CCOC(=O)[C@H](CCc1ccccc1)N[C@@H](C)C(=O)N1CCC[C@H]1C(=O)O,IC50,,
CHEMBL1282,CC(C)Cn1cnc2c(N)nc3ccccc3c21,IC50,,
CHEMBL158026,NS(=O)(=O)c1cc2c(s1)SCCC2O,IC50,30,nM
CHEMBL30,CN/C(=N\CCSCc1nc[nH]c1C)NC#N,IC50,,
CHEMBL372795,,,,
CHEMBL135,C[C@]12CC[C@@H]3c4ccc(O)cc4CC[C@H]3[C@@H]1CC[C@@H]2O,IC50,,
CHEMBL438,Cc1ccnc(NS(=O)(=O)c2ccc(N)cc2)n1,IC50,,
CHEMBL983,C[N+](C)(C)CCOC(=O)CCC(=O)OCC[N+](C)(C)C.[Cl-].[Cl-],IC50,,
